hello,tell,变量3,变量4,变量5,变量6,变量7,变量8,变量9,变量10
0,11755,0.00,0,0,0,0,0,0.000,0
0,11751,0.00,0,0,0,0,0,0.000,0
0,11755,0.00,0,0,0,0,0,0.000,0
0,11756,0.00,0,0,0,0,0,0.000,0
0,11757,0.00,0,0,0,0,0,0.000,0
0,11755,0.00,0,0,0,0,0,0.000,0
0,11750,0.00,0,0,0,0,0,0.000,0
0,11759,0.00,0,0,0,0,0,0.000,0
0,11749,0.00,0,0,0,0,0,0.000,0
0,11749,0.00,0,0,0,0,0,0.000,0
0,11721,0.00,0,0,0,0,0,0.000,0
0,11727,0.00,0,0,0,0,0,0.000,0
0,11744,0.00,0,0,0,0,0,0.000,0
0,11715,0.00,0,0,0,0,0,0.000,0
0,11740,0.00,0,0,0,0,0,0.000,0
0,11710,0.00,0,0,0,0,0,0.000,0
0,11721,0.00,0,0,0,0,0,0.000,0
0,11721,0.00,0,0,0,0,0,0.000,0
0,11733,0.00,0,0,0,0,0,0.000,0
0,11741,0.00,0,0,0,0,0,0.000,0
0,11753,0.00,0,0,0,0,0,0.000,0
0,11766,0.00,0,0,0,0,0,0.000,0
0,11766,0.00,0,0,0,0,0,0.000,0
0,11780,0.00,0,0,0,0,0,0.000,0
0,11785,0.00,0,0,0,0,0,0.000,0
0,11779,0.00,0,0,0,0,0,0.000,0
0,11772,0.00,0,0,0,0,0,0.000,0
0,11745,0.00,0,0,0,0,0,0.000,0
0,11750,0.00,0,0,0,0,0,0.000,0
0,11753,0.00,0,0,0,0,0,0.000,0
0,11754,0.00,0,0,0,0,0,0.000,0
0,11753,0.00,0,0,0,0,0,0.000,0
0,11747,0.00,0,0,0,0,0,0.000,0
0,11754,0.00,0,0,0,0,0,0.000,0
0,11717,0.00,0,0,0,0,0,0.000,0
0,11729,0.00,0,0,0,0,0,0.000,0
0,11732,0.00,0,0,0,0,0,0.000,0
0,11733,0.00,0,0,0,0,0,0.000,0
0,11727,0.00,0,0,0,0,0,0.000,0
0,11733,0.00,0,0,0,0,0,0.000,0
0,11730,0.00,0,0,0,0,0,0.000,0
0,11739,0.00,0,0,0,0,0,0.000,0
0,11746,0.00,0,0,0,0,0,0.000,0
0,11747,0.00,0,0,0,0,0,0.000,0
0,11749,0.00,0,0,0,0,0,0.000,0
0,11749,0.00,0,0,0,0,0,0.000,0
0,11758,0.00,0,0,0,0,0,0.000,0
0,11764,0.00,0,0,0,0,0,0.000,0
0,11761,0.00,0,0,0,0,0,0.000,0
0,11763,0.00,0,0,0,0,0,0.000,0
0,11761,0.00,0,0,0,0,0,0.000,0
0,11765,0.00,0,0,0,0,0,0.000,0
0,11764,0.00,0,0,0,0,0,0.000,0
0,11771,0.00,0,0,0,0,0,0.000,0
0,11756,0.00,0,0,0,0,0,0.000,0
0,11753,0.00,0,0,0,0,0,0.000,0
0,11751,0.00,0,0,0,0,0,0.000,0
0,11755,0.00,0,0,0,0,0,0.000,0
0,11759,0.00,0,0,0,0,0,0.000,0
0,11763,0.00,0,0,0,0,0,0.000,0
0,11765,0.00,0,0,0,0,0,0.000,0
0,11720,0.00,0,0,0,0,0,0.000,0
0,11737,0.00,0,0,0,0,0,0.000,0
0,11710,0.00,0,0,0,0,0,0.000,0
0,11717,0.00,0,0,0,0,0,0.000,0
0,11724,0.00,0,0,0,0,0,0.000,0
0,11698,0.00,0,0,0,0,0,0.000,0
0,11713,0.00,0,0,0,0,0,0.000,0
0,11708,0.00,0,0,0,0,0,0.000,0
0,11715,0.00,0,0,0,0,0,0.000,0
0,11719,0.00,0,0,0,0,0,0.000,0
0,11727,0.00,0,0,0,0,0,0.000,0
0,11727,0.00,0,0,0,0,0,0.000,0
0,11732,0.00,0,0,0,0,0,0.000,0
0,11735,0.00,0,0,0,0,0,0.000,0
0,11732,0.00,0,0,0,0,0,0.000,0
0,11705,0.00,0,0,0,0,0,0.000,0
0,11710,0.00,0,0,0,0,0,0.000,0
0,11718,0.00,0,0,0,0,0,0.000,0
0,11727,0.00,0,0,0,0,0,0.000,0
0,11730,0.00,0,0,0,0,0,0.000,0
0,11737,0.00,0,0,0,0,0,0.000,0
0,11728,0.00,0,0,0,0,0,0.000,0
0,11749,0.00,0,0,0,0,0,0.000,0
0,11754,0.00,0,0,0,0,0,0.000,0
0,11757,0.00,0,0,0,0,0,0.000,0
0,11760,0.00,0,0,0,0,0,0.000,0
0,11757,0.00,0,0,0,0,0,0.000,0
0,11759,0.00,0,0,0,0,0,0.000,0
0,11765,0.00,0,0,0,0,0,0.000,0
0,11754,0.00,0,0,0,0,0,0.000,0
0,11750,0.00,0,0,0,0,0,0.000,0
0,11743,0.00,0,0,0,0,0,0.000,0
0,11751,0.00,0,0,0,0,0,0.000,0
0,11719,0.00,0,0,0,0,0,0.000,0
0,11728,0.00,0,0,0,0,0,0.000,0
0,11699,0.00,0,0,0,0,0,0.000,0
0,11698,0.00,0,0,0,0,0,0.000,0
0,11708,0.00,0,0,0,0,0,0.000,0
0,11712,0.00,0,0,0,0,0,0.000,0
0,11686,0.00,0,0,0,0,0,0.000,0
0,11705,0.00,0,0,0,0,0,0.000,0
0,11728,0.00,0,0,0,0,0,0.000,0
0,11705,0.00,0,0,0,0,0,0.000,0
0,11679,0.00,0,0,0,0,0,0.000,0
0,11657,0.00,0,0,0,0,0,0.000,0
0,11689,0.00,0,0,0,0,0,0.000,0
0,11699,0.00,0,0,0,0,0,0.000,0
0,11704,0.00,0,0,0,0,0,0.000,0
0,11711,0.00,0,0,0,0,0,0.000,0
0,11721,0.00,0,0,0,0,0,0.000,0
0,11694,0.00,0,0,0,0,0,0.000,0
0,11713,0.00,0,0,0,0,0,0.000,0
0,11713,0.00,0,0,0,0,0,0.000,0
0,11714,0.00,0,0,0,0,0,0.000,0
0,11724,0.00,0,0,0,0,0,0.000,0
0,11737,0.00,0,0,0,0,0,0.000,0
0,11745,0.00,0,0,0,0,0,0.000,0
0,11742,0.00,0,0,0,0,0,0.000,0
0,11742,0.00,0,0,0,0,0,0.000,0
0,11737,0.00,0,0,0,0,0,0.000,0
0,11709,0.00,0,0,0,0,0,0.000,0
0,11720,0.00,0,0,0,0,0,0.000,0
0,11728,0.00,0,0,0,0,0,0.000,0
0,11699,0.00,0,0,0,0,0,0.000,0
0,11708,0.00,0,0,0,0,0,0.000,0
0,11713,0.00,0,0,0,0,0,0.000,0
0,11715,0.00,0,0,0,0,0,0.000,0
0,11722,0.00,0,0,0,0,0,0.000,0
0,11697,0.00,0,0,0,0,0,0.000,0
0,11712,0.00,0,0,0,0,0,0.000,0
0,11724,0.00,0,0,0,0,0,0.000,0
0,11725,0.00,0,0,0,0,0,0.000,0
0,11725,0.00,0,0,0,0,0,0.000,0
0,11722,0.00,0,0,0,0,0,0.000,0
0,11692,0.00,0,0,0,0,0,0.000,0
0,11702,0.00,0,0,0,0,0,0.000,0
0,11718,0.00,0,0,0,0,0,0.000,0
0,11725,0.00,0,0,0,0,0,0.000,0
0,11696,0.00,0,0,0,0,0,0.000,0
0,11710,0.00,0,0,0,0,0,0.000,0
0,11722,0.00,0,0,0,0,0,0.000,0
0,11735,0.00,0,0,0,0,0,0.000,0
0,11742,0.00,0,0,0,0,0,0.000,0
0,11749,0.00,0,0,0,0,0,0.000,0
0,11752,0.00,0,0,0,0,0,0.000,0
0,11720,0.00,0,0,0,0,0,0.000,0
0,11723,0.00,0,0,0,0,0,0.000,0
0,11723,0.00,0,0,0,0,0,0.000,0
0,11745,0.00,0,0,0,0,0,0.000,0
0,11740,0.00,0,0,0,0,0,0.000,0
0,11743,0.00,0,0,0,0,0,0.000,0
0,11751,0.00,0,0,0,0,0,0.000,0
0,11714,0.00,0,0,0,0,0,0.000,0
0,11722,0.00,0,0,0,0,0,0.000,0
0,11718,0.00,0,0,0,0,0,0.000,0
0,11717,0.00,0,0,0,0,0,0.000,0
0,11687,0.00,0,0,0,0,0,0.000,0
0,11668,0.00,0,0,0,0,0,0.000,0
0,11695,0.00,0,0,0,0,0,0.000,0
0,11709,0.00,0,0,0,0,0,0.000,0
0,11721,0.00,0,0,0,0,0,0.000,0
0,11724,0.00,0,0,0,0,0,0.000,0
0,11716,0.00,0,0,0,0,0,0.000,0
0,11720,0.00,0,0,0,0,0,0.000,0
0,11720,0.00,0,0,0,0,0,0.000,0
0,11729,0.00,0,0,0,0,0,0.000,0
0,11733,0.00,0,0,0,0,0,0.000,0
0,11734,0.00,0,0,0,0,0,0.000,0
0,11735,0.00,0,0,0,0,0,0.000,0
0,11709,0.00,0,0,0,0,0,0.000,0
0,11715,0.00,0,0,0,0,0,0.000,0
0,11725,0.00,0,0,0,0,0,0.000,0
0,11703,0.00,0,0,0,0,0,0.000,0
0,11715,0.00,0,0,0,0,0,0.000,0
0,11727,0.00,0,0,0,0,0,0.000,0
0,11735,0.00,0,0,0,0,0,0.000,0
0,11700,0.00,0,0,0,0,0,0.000,0
0,11684,0.00,0,0,0,0,0,0.000,0
0,11703,0.00,0,0,0,0,0,0.000,0
0,11718,0.00,0,0,0,0,0,0.000,0
0,11721,0.00,0,0,0,0,0,0.000,0
0,11735,0.00,0,0,0,0,0,0.000,0
0,11741,0.00,0,0,0,0,0,0.000,0
0,11753,0.00,0,0,0,0,0,0.000,0
0,11716,0.00,0,0,0,0,0,0.000,0
0,11709,0.00,0,0,0,0,0,0.000,0
0,11725,0.00,0,0,0,0,0,0.000,0
0,11710,0.00,0,0,0,0,0,0.000,0
0,11719,0.00,0,0,0,0,0,0.000,0
0,11693,0.00,0,0,0,0,0,0.000,0
0,11710,0.00,0,0,0,0,0,0.000,0
0,11690,0.00,0,0,0,0,0,0.000,0
0,11708,0.00,0,0,0,0,0,0.000,0
0,11691,0.00,0,0,0,0,0,0.000,0
0,11704,0.00,0,0,0,0,0,0.000,0
0,11721,0.00,0,0,0,0,0,0.000,0
0,11699,0.00,0,0,0,0,0,0.000,0
0,11714,0.00,0,0,0,0,0,0.000,0
0,11723,0.00,0,0,0,0,0,0.000,0
0,11735,0.00,0,0,0,0,0,0.000,0
0,11736,0.00,0,0,0,0,0,0.000,0
0,11740,0.00,0,0,0,0,0,0.000,0
0,11747,0.00,0,0,0,0,0,0.000,0
0,11750,0.00,0,0,0,0,0,0.000,0
0,11762,0.00,0,0,0,0,0,0.000,0
0,11759,0.00,0,0,0,0,0,0.000,0
0,11760,0.00,0,0,0,0,0,0.000,0
0,11759,0.00,0,0,0,0,0,0.000,0
0,11751,0.00,0,0,0,0,0,0.000,0
0,11744,0.00,0,0,0,0,0,0.000,0
0,11759,0.00,0,0,0,0,0,0.000,0
0,11755,0.00,0,0,0,0,0,0.000,0
0,11750,0.00,0,0,0,0,0,0.000,0
0,11720,0.00,0,0,0,0,0,0.000,0
0,11726,0.00,0,0,0,0,0,0.000,0
0,11699,0.00,0,0,0,0,0,0.000,0
0,11725,0.00,0,0,0,0,0,0.000,0
0,11728,0.00,0,0,0,0,0,0.000,0
0,11740,0.00,0,0,0,0,0,0.000,0
0,11740,0.00,0,0,0,0,0,0.000,0
0,11745,0.00,0,0,0,0,0,0.000,0
0,11717,0.00,0,0,0,0,0,0.000,0
0,11735,0.00,0,0,0,0,0,0.000,0
0,11709,0.00,0,0,0,0,0,0.000,0
0,11711,0.00,0,0,0,0,0,0.000,0
0,11723,0.00,0,0,0,0,0,0.000,0
0,11730,0.00,0,0,0,0,0,0.000,0
0,11745,0.00,0,0,0,0,0,0.000,0
0,11752,0.00,0,0,0,0,0,0.000,0
0,11720,0.00,0,0,0,0,0,0.000,0
0,11727,0.00,0,0,0,0,0,0.000,0
0,11749,0.00,0,0,0,0,0,0.000,0
0,11761,0.00,0,0,0,0,0,0.000,0
0,11761,0.00,0,0,0,0,0,0.000,0
0,11726,0.00,0,0,0,0,0,0.000,0
0,11733,0.00,0,0,0,0,0,0.000,0
0,11749,0.00,0,0,0,0,0,0.000,0
0,11752,0.00,0,0,0,0,0,0.000,0
0,11761,0.00,0,0,0,0,0,0.000,0
0,11758,0.00,0,0,0,0,0,0.000,0
0,11758,0.00,0,0,0,0,0,0.000,0
0,11769,0.00,0,0,0,0,0,0.000,0
0,11768,0.00,0,0,0,0,0,0.000,0
0,11768,0.00,0,0,0,0,0,0.000,0
0,11772,0.00,0,0,0,0,0,0.000,0
0,11772,0.00,0,0,0,0,0,0.000,0
0,11764,0.00,0,0,0,0,0,0.000,0
0,11731,0.00,0,0,0,0,0,0.000,0
0,11740,0.00,0,0,0,0,0,0.000,0
0,11744,0.00,0,0,0,0,0,0.000,0
0,11721,0.00,0,0,0,0,0,0.000,0
0,11731,0.00,0,0,0,0,0,0.000,0
0,11740,0.00,0,0,0,0,0,0.000,0
0,11716,0.00,0,0,0,0,0,0.000,0
0,11733,0.00,0,0,0,0,0,0.000,0
0,11716,0.00,0,0,0,0,0,0.000,0
0,11710,0.00,0,0,0,0,0,0.000,0
0,11726,0.00,0,0,0,0,0,0.000,0
0,11739,0.00,0,0,0,0,0,0.000,0
0,11744,0.00,0,0,0,0,0,0.000,0
0,11748,0.00,0,0,0,0,0,0.000,0
0,11755,0.00,0,0,0,0,0,0.000,0
0,11760,0.00,0,0,0,0,0,0.000,0
0,11777,0.00,0,0,0,0,0,0.000,0
0,11771,0.00,0,0,0,0,0,0.000,0
0,11773,0.00,0,0,0,0,0,0.000,0
0,11782,0.00,0,0,0,0,0,0.000,0
0,11787,0.00,0,0,0,0,0,0.000,0
0,11749,0.00,0,0,0,0,0,0.000,0
0,11743,0.00,0,0,0,0,0,0.000,0
0,11722,0.00,0,0,0,0,0,0.000,0
0,11706,0.00,0,0,0,0,0,0.000,0
0,11725,0.00,0,0,0,0,0,0.000,0
0,11744,0.00,0,0,0,0,0,0.000,0
0,11752,0.00,0,0,0,0,0,0.000,0
0,11760,0.00,0,0,0,0,0,0.000,0
0,11766,0.00,0,0,0,0,0,0.000,0
0,11776,0.00,0,0,0,0,0,0.000,0
0,11785,0.00,0,0,0,0,0,0.000,0
0,11791,0.00,0,0,0,0,0,0.000,0
0,11804,0.00,0,0,0,0,0,0.000,0
0,11770,0.00,0,0,0,0,0,0.000,0
0,11788,0.00,0,0,0,0,0,0.000,0
0,11791,0.00,0,0,0,0,0,0.000,0
0,11791,0.00,0,0,0,0,0,0.000,0
0,11779,0.00,0,0,0,0,0,0.000,0
0,11802,0.00,0,0,0,0,0,0.000,0
0,11759,0.00,0,0,0,0,0,0.000,0
